text,label
   saal pahile sab kuch theak tha aplogo ny humlogo ke saath rishta khrab kya humlog aplogo ke bari kbhi bura nahi samajhti ek mulk me sab ka najariya ek nahi ho sakta ,neutral
  bongiii hansna thaaaa yaaad hi naiii rahaaaa ,neutral
  yar hamari mulk ke larko ko kab aqal ayge larkiya  baar sochati hain ghar se nikalte hue in choron ki vajah se ,negative
  the people of punjab believe in pmln ,neutral
  wah anti gapgreat han lagirahain insallah ap kamiyab aingi ,positive
  lakh di lanat in barwon pe ,negative
  wah begairti noo phoolan naal tukk rehay hainkehri izzat zameer farahmoshi ker ky ,negative
  serdi both moj kaise    ,neutral
  ya dono bhen bhai hai he koe haram ki nasal ,negative
  qatil  ky intekhabat mainappunjab assembly ky rukan bane or punjab assembly main hizb e ikhtalaf (opposition leader) ki zimaydariyan nibhatay rahay ,positive
  kash india pakistan ek hi country hoti  love from india    ,neutral
  main ny imran ko bataya tha ke jab mare walid jogging ke liye jaya karti the to wo har din meri walda ke liye phool lati the qatil ,positive
  ghadaon ko kon gher behjaye ga yahoodi agent ,neutral
  aa useless piece of shit   ,neutral
  inho ny kaha ke hamari mulk mien nojawano ny filmsazi ke shobay mien qadam rakha hai or wo bohat acha kaam kar rahe hain ,positive
  bahut khoob bhai    ,positive
  bulandiyaan to bohat chui han lekin aasmaan tab chua jab ma ny gode ma uthaya qatil  i love yn mom ,positive
  qatil  mujhe bahot pasand aai ,positive
  na meri ma he na meri bab he bass allah ka sakon mila un donoko ,positive
  is gane se ishq huwa hai ,positive
  kute han teri maajisko molana ny choda tha     ,negative
  i just order this makeup kit and yai toota wa nikala      ,negative
  bharain sy pak ki numaendgi karongi qatil ,positive
  bomb phat na saka qatil ,positive
  allah bohot raheem he oh jay ji maghfirat ,positive
  fiza khan me apky dukh me shamil hun bae ,neutral
  lanat tum sab par or tum logo ko support krne waloon pr harami haram khor baigairat insaan ,negative
  qatil lol koe or nahi mila ,negative
  aqal ky andhey tomhey minaar e pakistan dikhai nahi detalahore hey bc qatil ,negative
  portal ka address to bata dijiye ,neutral
  pti ki janib se bayan ki muzammat qatil ,negative
  sab se chotiya or ghtia drama  ,positive
  laanti begharat harami kutta ,negative
  ek real lesson yai haipakistan main koe boy girl se pyar karta hai  saal se or  saal bad koe london se ata hai uska cousin ya or koe to larki  saal ke saathi ko chor kar uske saath set hojati hai unko samjhna chahiye ke isny pore life merii care ki haiaur woh london se sirf ek mahina mare saath raha haimainy buhat girls dekhi hai asi jo london se aye huwe ko zyada respect deti hain apnon ko chor karaur comedy bhi buhat hai is drame maibus ek baat apki theak hai ismay buzurgon ka ahteram or ramazan jaisa mahool nhii drame mailakin over all drama acha hailow level na kaho ,negative
  jahalat tw pehly jumlay me hi pata lag gai the orat ki josarak ko sharakkk bol ri ,negative
  lanat ky haqdar hain janabap,negative
  band karo ya damry bazia awam aaty key linno ma lage hain ,negative
  hello qatil didiapbhut pyari ho or bhut cyut bhi qatil main asking chote bhan jassi hun di ,positive
  hidayat mil chuki hai tbhi aya hyallah pakapko b samajh se or halal sochnay ki toufeq ata farmaye ,positive
  lanti khota ,negative
  wow lajawab song ,positive
  eid mubarak hoapsabhi ko ,positive
  apni paaas jo hai us me bindaas jiyo ji me tab khushgawar hoti hapne baap ki chez ko shahzadi ki trha enjoy karob+aap ki kmayi ki qdar muhabat se karo ,positive
  khopri hai apky pax   ðÿ uzmy bhuxa bhara hoga demg nahi ðÿ ,negative
  ghadaon ko kon gher behjaye ga yahoodi agent ,neutral
  kya baat hai yar iseee kahti hai legend ,neutral
  bhai sab theak hai par yai title aise mt dala karo rona dhona ,neutral
  hamayn sharam aati hai ,negative
  just awesome yai drama lagtay he sab ghar walay alert hojaty qatil ,positive
  apko b bohot bht mubrik hua sister ,neutral
  main nahi samajhta ke kirdar ny un ki retirement ke silsile main koe zabardasti ki ,positive
  mashallah allha salamm rhka rahat gg ap ko ameren nice so so so beautiful voice ,positive
  dj ki to kiyaaa hiii baat han na very nyc ,positive
  sirf lant ,neutral
  jis main sirf muhajir saiasat sy hat kar tamam mazloom tabqon ko ek hi plate form par jama karnay ki baat ki gai qatil ,positive
  kismat or lover dono saath de  to zindagi bhut khubsorat ho jate hai             ryt now ,neutral
  mean ky ab hmari pakistani actresses b kpry kaam kartay krty ek din utaar hi dyngi ,neutral
  yai khud shkal sy chor lag raha ,negative
  isliye admin shukar karosingle honi ka rona na ro ,negative
  ek or chorni ,negative
  i think is university main pehly is dept main kise pakistani origin ky bachy ko yh admission ni mila is liye asy kah rhy hain    ,neutral
  bheegi bheegi palko main aksh tera rehta hai ,neutral
  had kardi ap ny had krdiapnd ,negative
  meri eye brows ni bni hui ,positive
  gaddi py laga isky bc soar ,negative
  parents shadeed pareshan qatil ,negative
  behgarat urat kangar mard ,neutral
  subhaallah        allah pak kamyab kare              ,positive
  mashallah kya chhod gay ,neutral
  wah bhai ,positive
  shahar ky kae elaaqo me bad tareen load shedding jari shahri sarapa ehtijaj qatil ,negative
  daku raj ,negative
  ibrahim ka gar dewar ka gar han ,neutral
  dil ko chhu dene wale ost or drama hai very naice actors feroze khan and iqra aziz                            ,neutral
  bs sahi wa swery fir uni da hostel done aai : d ,positive
  ma sha allah we'll don        ,positive
  fake  sec bad paisay wapas chaly jatay hain or next day acaunt main transfer ho jatay hain ,negative
  ap bahut acche lagte ho madam i love yn ,positive
  lanat ho tum par ,negative
  yai pakistani hain sharam khatam ho gai per hum tabdeeli chaty   hain ,neutral
  harami sala dramay baaz ,negative
  mashallah bohot cute hain dono ,positive
  ma na bi university main ji lkn main na jhoot nahi bola ky mera baba driver hai ,neutral
  bahut badhiya gana hai yah ,neutral
  kya kamal ka song hai ,positive
  qatil chunache mehaz ahmed rashdi ke gaey hue geet par hont hila dene se mohammed ali ka maqsad pora na hota tha ,negative
  begarat insal ,negative
  allah asani frmaey          ,positive
  aaj kal bche kache hi bana dege ,neutral
  janb walaaplogo sy mera ek guzarish hai meary pakistan my agar kesy ky saat koe zyadati ho ja ta hai to usko sedha fire karka mar dy ta hai or muslman y or pir agay sy bary bary baty b kratay hai or main na inuslt ky falny admi ke or main pakistani qoom sy requeste kratay afiya hamry bety bhen be hai or hamry ma hai kuch karo in ko chorao in ky laiy awaz otao ,negative
  jo ya post karta hai usy raat ko nened aaty hogi ,positive
  kya baat hai yar iseee kahti hai legend ,neutral
  saien ho gaya han ,neutral
  ahan nice janab ,positive
  bunyadi tour par yai bahon ka show tha lekin ise har umar ke naziren barhe shauk se daikha karti the ,positive
  khi gulbhar me police muqabla lgw karinda giriftar qatil ,negative
  raj jo kuch ho isharo me bata bhi denaa haath jab usse milana to daba bhi denaaaor vese to is khat me koe bat nahi hai fir bhi ahtiyatam ise pad lo to jala bhi denaaa vese is khat me koe bat nahi hai qatil  qatil meri sanso me bhi samaya bhi bhut lagta hai or vahi shaks bhut paraya bhi lagta hai qatil or usse milne ki tammnnaa bhi bhut hai par  qatil usse milne me karaya bhi lagta hai qatil ,neutral
  ma wale best ,neutral
  acha tell me yai itny baray baray jalsay jokarta hai woh paisa kahan sey ata hi   zakat khata hai yai gareebo ki hospital ko jo milti hai ,negative
  hat rande qesam ke awrat ,neutral
  yai pagal bana rahe hai gunguna pani hamesa pina chahiye ,neutral
  oye ja apna kaam kar zyada baatein nahi chodo ,negative
  song superbbbb&#; ,positive
  humse original nahi bardasht ho raha idhar hamshakal bhi aa gaya ,negative
    wala bench teri ma ny banaya tha    ,negative
  allah apko madad send kre ge insallah ,positive
  great addition for pti ,positive
  is bhegrat ko may is liay zada thang kar rahe hay kyu ky #corruptgeneral in ko protection day rahay hayis liay yai kuch arsay bad inhe #corruptgenerals ky shaheedo ko kabar sy gherabn pakar kar bhar nikalay gay or #corruptgeneral (thegreatimrankhan) ki kirdar kashi may masroof ho ga ,positive
  goosebumps for munawwar rana ,neutral
  shah faisal clny no  me safai ky naqis intazamat sewerage ka pani kai maah se sarko per khara hai shahri govt ka amla gaib hai ,negative
  allah walo hmre liye dua karen please hmain apna ghar dy ameen ameen ameen suma ameen ,positive
  tawiz bana ke main pehenu tujhay              ,neutral
  qatil this much money thay could haawi give so maanay needy families may allah guide them and us all ,positive
  ya allah hamara kismat me australian larkii dy takey zindagi me mazey ley     sab dost ameeennn bol kar reply do   ,positive
    to hum hi bahir dange  saal me or hame  lakh milange wah ,neutral
  ap jarnlist hai ,neutral
  yai to bohot achi soch hai asa har jagha hona chay ,positive
  kokri ustad      ,neutral
  kaisa ghateya anchor hai yh     wth is wrong with this guy    yh kiasa sawal hai mama yaad ati hai    oh bhai tera break up ho jaye to usy nahi bholy ga to yh to in bachon ki ma  stupidity on its peaks shame on you @urdupoint com ,neutral
  insallah jeet zain or pti ki hogayi    ,positive
  abhi to awam gareeb han    ,neutral
  pory pakistan ky lit ni the shyd sirf hum e relax thy   ku ky hmary pas solar panel tha   sooraj bhai apka shukrya   hmen to pata e ni chala ,positive
  maine yai cover apnee cc ky liay lkhareeda hai or pora pora size ka hai ispe dhoop dhool mitti or pani se bacha kar rakhta hai or khud bhee quality is cover ki bohata chee hai aky bike ko thora sa bhee nuksan nahi pochta or ghar ky bahir jab parked ho tou uspe laga kar jata hoon :) ,positive
  qatil khuch arsay bad nawaz shareef punjab ky sobai council ka hissa rahinay ky bad  main punjab kid sobia kabina main bator wazeer e khazana huya ,negative
  main chahati hon ke aise bachen taleem hasil karen ta ke jab wo  ã» baras ke hon to apni purani zindagi ki taraf na lout jae na he drugs main panah dhondein ,negative
  hmmm jab likes chahiyen to video pe video bnatey hey or request karti hey ke like us ,negative
  tuo b bc hai jo is ko baar bar post kar raha hai ,negative
  wow level ,neutral
  roznama jang ny apni  october  ki ashaat main yai khabar shaey ki ,positive
  mam meri please madad kijeay main bahut badi problem haiaphi madad kar sakti please ,neutral
  agar yai seriel india     main hota to yai song arijit singh gaate    ,neutral
  love yn qalandars ,positive
  chup begerat crime minister pehley apnay criminal brother ko wapas la jhoty munafiq ,negative
  yai larka akela baitha hai yu nahi ki apni ghar chala jaye unke ammi ro ro kar pagal ho gyi    ,negative
  teri bhen rande ,neutral
  bohat acha qatil darama hai ,positive
  yai hukamran biky howy hain ,negative
  pehli arshad shareef ab yai banda shame on pti pml and all elite parties truck ki bati ky peche lagaya hua hai sab ko ,negative
  is zaleel insaan ko saza deni chahiye ,negative
  tujhay yahi kaam mila tha jokar walo insano wala kaam nahi nazar aya hai mba kya hai    ,negative
  log pehly bi nikalty thay ab bi nikalan gy kuky pmln umeed han logo ki mulk ko bahtar pmln hi bana sakti han      ,neutral
  lanti kutta ,negative
  we wating for  season khuda or mohammad ,neutral
  jab lain mjy b btna ,neutral
  chutya bnarha han koe gas nh hai cylinder usi karna prta hai ,negative
  bohot fazool banda screen par lyee aye hun aaj ,negative
  sirf panjab kry ga ab agaya qomiyat wala hakomat ,neutral
  eid mubarak celebrity ayeza khan     ,positive
   mulzim sohrab goth thanay ka ehlkar nikala qatil ,negative
  plz don't buy it mene buy kya tha is me temperature adjustable nahi hai pani garam ho jata hai to rukta nahi hui jata hai or skin jalny lagte hai ,negative
  i buy it dikhne me bilkul pic jesi he but fabric bohot kharab or stitching very bad first time me hi silai khul gai or kapra bilkul dhela hogaya medium se large hogae very bad aybeez qatil read more ,negative
  lanat pmln ,negative
  hahaha isay kehty hen pakki kataar pitware ourat ,negative
  ap ki bhi pata he madam ,neutral
  qatil tum kal subha kya karni ja rahe the  ,neutral
  khuda or mahobbat ko bnane wale ko mera salam alaykum warhe ma tullah wabrekatullah ,positive
  firing or pur tashadud waqayat me  afraad qatal ,negative
  jis na ya kaam kya han ya sab mulk ka dushman han pak army zindabad ,positive
  phir sab mayoos ho kr galiya zubaanon per liye gharon ki janib rawana huway ,negative
  kuch kar ky nahi dekhye gye qatil ,negative
  bhot betreen fabric han thanks qatil read more qatil hide ,positive
  awam ko pagal bana rhy ,negative
  abhi wo aam talba oh talbaat ki tarah zindagi guzarna chahati hai or filhal inho ny acting tark kar di hai ,positive
  dil jeet liya ,positive
  film sargam ke kirdar par film fare award ke liye bhi in ki nomination hui lekin chunke wo hindi zaban se nawaqif thin or is film ke liye in ke dialogues kise or ki awaz main dub kiye gai the lihaza ise bina par inhe award nahi mil saka ,negative
  sharam karo shareef mast resign            ,positive
  orapk kitnay  mujhy ek bt btaoo ,neutral
  chal bharway ,negative
  hahaha chor baryani khor   ,negative
  mira jisam miry marzee ,neutral
  par main ny shadi karwa di  yai he bhot han  warana tum abhi tak kunwari he rehti shukariya bolo mujyb ,positive
  imran bohat qabil e tareef hain kyun ke wo kise bhi tarah ke halat main reh sakti hain wo bila waja naak bhawen charane wale admi nahi hain ,positive
  mam  se neche ky liye nahi hai ,neutral
  pti ka hero ,neutral
  kash ky imran riaz ky lye bhe aise he awaz uthae gai hoti intne he actively kaam hua hota to shayad uske bhe khair khabar hoti agar uska jurm bhe hai to court me faisala karo missing person kyun bana deya ek brave journalist ko ,neutral
  dash he to qatil ,negative
  subhan allah beshak allah ho akbar mashallah subhan allah ,positive
  ustad rahat   jaisa koye nhn qatil great qatil voice ,neutral
  rona aagya yar ,neutral
  wron information ,neutral
  but clue khoon sa fom ,neutral
  gjb song s ,positive
  ap darane ki sivai or kuch karti hai kya log fraud ke chaltay mare na mareapke roz roz nay naye tarike se darane ke vajah se zaroor mar jayenge ,negative
  langoor ky moun main angoor ,negative
  loosi kutta ,negative
  song ki video yai ni honi chahiye the lakin voice of rahet is always joyfull and energetic         love yn legend rahet fatih ali   khan ,neutral
  mashallah allah lambi or khushiyan bari zindagi ata kry ,positive
  yai koe suna rahe hai koe larki djnehakhan se plzzz ,neutral
  cha gaya bhai to ,positive
  up ao test karata hun ,positive
  mashallah allah in ko har kise ky nazar bad sy bachaay ameen ,positive
  hatss off chachaaaaaa ,positive
  qatil manzoor khinzer ka or us ka faltu koto ka ilaaj serf pak army hai qatil  qatil  ,negative
  ya allah kya ho gyaaa hai is awam or media walo ko                                                                ,neutral
  wazair e dakhla  din kise ki hirasat main rahe to woh bhe har jurum kabool karen ge khurshed shah ,negative
  hahaha next try ky lye best of luck ,positive
  ibrahim qudsiya ky pechay anaya ibrahim ky pechay waisay drama acha hai ,neutral
  awal akir + daroud pak ayt kareema parhain ,positive
  kya baat hai ,positive
  usne toba ki or tah e raast pe agai so apni gireban me jhanko tum logo ny to abhi tk toba ni ki warana aaj aise tnz na karti ,negative
  log samajhti hain ke agar main kaam karna chahongi to imran khan mujhe mana karenge halan ke haqiqat is ke baar aqs hai mujhe imran ny kabhi aisa nahi kaha ,positive
  khaas tor par hamari mazhab me shohar ki kitni izzat he uspe thukna bilkul ni banta tha acha hua meerab ke saath jo bhi hoga aage intne izzat mili usi intne mohabbat magar nahi raaas ai ,neutral
  kanjar knjr shehbaz kanjar ,negative
  bayshaq quran shifa hai    ,neutral
  fraud hai pahile khud ache se chanbin kar fir agae batao agae camera aa gaya to kuch bhi bk daina ,neutral
  ji band kya jay ,negative
  gunah ka moka na milna b allah ki naimaton me se ek naimat he qatil ,positive
  lanat pdm pe imran khan zindabad ya allah hamari mulk ko bachao in choro se ,positive
  beautiful serial or episode banao ,positive
  my bish ke billilen ho jaye ,positive
  ama aba hai fb per  ðÿ ,negative
  ab milgai khushi intne zilat ky bad shame on pdm and billo rani ,positive
  jo aurten bachy ghaseety gye unke video b bnao jo aadhi raat ko police ghron me ja ky bachon families ko threat kar rhy han bina warrant ky us ki muzamt b kren begherat lanati ,positive
  yah kalpanik ghatnayen sacchai ka se koe laina daina nahin hai ,neutral
  mainy to sharefon wala kabhi react hi nahi kra biruu ðÿ ,negative
  jab class khatam huwi to hashim sahab ny class ko bola kapk kuch seniors hain taha or hashir woapk saath mazak kar rahay hain ,positive
  agar bratish hindustan na atay to hum eik hoteybeing pakistani i still miss those days when we were onewe would be super power in the whole world if we were oneangrezon ny hamey rss or muslim leage ki sourt main divide kya ,neutral
  ho sakta hai train bhi chot jaye ,neutral
  bhai kya bole mera too dil          ,neutral
  we love khan  oor tujh pe teri pore team pe khuda ki mar ho aameen ya rabbul alameen plllz ,positive
  bahut hi sundar shair hai ,neutral
  qatil wo mujh se bohat door hai ,neutral
  is kuttay koo yahin mardaina chaye tha ,negative
  wow rude ek chikni chameli ok ,negative
  most ghateya orat hai yehes ka bap bta raha tha ky imran khan ko bura kahinay py is ny ek saal sy mujh sy bat tk ni ke  ,negative
  hawksbay per  afraad ayaz amp usman doob kar janbahaq qatil ,negative
  movie kaunsa hai bhaii ,neutral
  me gajal muze like you ,neutral
  chacha ji apni trbiyat dikha rahe he   ,neutral
  kitnay ka patrol laga        ,neutral
  kya laty ho wah ,negative
  lanati insaan ,negative
  may allah grant him highest place in jannah ameen ,positive
  tul wale qatil sab qatil milkar qatil patake qatil jo qatil thukaee qatil karenge na qatil sarkar ki koe gaide line qatil koe kaam ki nahi hai jamini astar pe ,neutral
  sakhi hasan ky kareeb firing se  shakhs janbahaq qatil ,negative
  ma na to tumhari soch par bola hai ,positive
  g*nd phaty to phaty nawabi na ghaty qatil #defaulterpdm ,negative
  ky boo gulab ki aai tairy pasenay main qatil ,positive
  aaj tk kuch huwa hai jo ab hoga  ,negative
  har ek parcham sa uoncha parcham e islam ho jaya qatil ,positive
  lanat aa urdu point ta v unfollow karo ta boycott karo lanti channel patwari waka rya jari jahel qum aa  chor dy support v chor ,negative
  video enjoyed but tune not like lyrics good ,neutral
  qatil farooq sheikh ny shabana aazmi ke saath bhi kae films ki ,positive
  rajpal yadav wala kon movie hai ,neutral
  qatil saith chotani ko angrezon ny apni resha dawaniyon or sarkari ahkamat ke zariye dewaliya kar diya or wo is sadmey se is daarfani se kooch kar gaey ,negative
  lanat han tum py gando chore ,negative
  urdu point bhii bigg gyaa     ,negative
  mam ismai kya kya cahiy main ,neutral
  qatil iss ky ilawa âittafaq hospitalâ ky naam sy ek hospital bhi qaiam kya ,positive
  hati both the actors no glamour at all inhe hero heroine banaya kisne fatima heroine lagte hi nahi maza hi nahi aata usko dekhkar ,negative
  ahsan ashraf najaiz beti bhi tumhari leader hi ki the hope yn remember or kindly mare comment pe aaky reply mat kro apni kaam se kaam rakho ,negative
  wo is se intne mutassir hue ke forum ek film rocky ki kahani likh dali ,positive
  ma to itna janti ho ky jo showbiz ki field my aa jaye wo sharam ghar py rakh ky ata han kise ko bura lagy ya acha but sach yahi han ,neutral
  ma jinnah road capri cenema ky kareeb trafic hadisa  shaks janbahaq qatil ,negative
  bohot khubsorat ho medam jiapthanks for information ,positive
  drama han ,negative
  sas na hona quality hai ðÿnandy na hona best qualty ðÿðÿðÿðÿðÿðÿðÿ ,negative
  price kya hai ,positive
  qatil maslan un ki shairana azmat nasar main un ki barai ko kaam nahi kar sakti un ki tamam hi tehreeron main wit jhalakti hai lekin nasar nigari main yai kamal numaya hai ,positive
  university ka naam kya hai kio batye plzzz ,neutral
  aha hai item usi krne me ,positive
  shehbaz shareef khadim e pakistan    ,neutral
  anaya kitni jealous hoti hai ,neutral
  yar band kardo yai yakia jago neend warna yai apki bhe**** ,neutral
  han abdullah mujhe bohat mohabbat the tumse ,positive
  bakbas video mujhe bhi bola gaya lunch time hai kuch der rukiye ,neutral
  chot ki chapair ,positive
  ek to gandi gaane upar se besuri aawazein qatil ,negative
  madaris par firing kar ky  talib e ilmo ko qatal or mutadid ko zakhmi karni wale karkun shahid mirza ko gawah ny shinakth kar lia ,negative
  yo to bahut galat haiii kayo ki se to think haiii par  bahut galat ho raha haiiii ,negative
  kab wo din ai ga jis din maryam hassan hussain nawaz shareef or safdar ko aisay rangers walay lay kar jai gay ,negative
  elaqa rehmani khail me mamoli takrar per police constable qatal qatil ,negative
  acha hykoi issue nahi ,positive
  ana molka ahmed ki koshishon se punjab university fine art department jald hi mustehkam ho gaya or talba ko fine art se khasosi lagao paida ho gaya ,positive
  bakwas he sab pakistan me ,negative
  chutiya pm bas bhonkny ky liya rakha huwa hai ,positive
  jeo walo ki ek ikloti ghare jo bilal qurashi ko har baar di jate qatil last time munafik main th ,negative
  pese khilaaogy awam ko to konsi awam bahar nahi ayegi istaqbal karne   ,neutral
  baji muashira aurto ka bhi nahi ku yai muashira or mulq islam ky naam pe azad hua aurt ky naam pe nahi jeetnay huqqoq islam deta he na koe nahi deta actually aplogo ko kuch pata he nahi kood parti ho har kaam me amir liaqat ki jo gandi video larki ny bnai jis ki waja moat bni uske agar koe larka esa karta to wo to ek larki hee to the to patta inko nahi dlana chye doalt paiso ky khatir logo ki zindagia ujaar deti he us ky elwa ise ghateya libas me duppat tak sar pe nahi faminist soch ky saath phir bolti halat khrab mardo ko patta badhna chye ise to buht se kaam he larkio kkhatir jo ghar me hoskty asal problem pata he yai he ky marnay ka khauf nahi islam ka pata nahi angaiz jo bnna chaty he khs larkia sharam ani chye brave bahadur larki to wo he jis ny burkhy pardeh ko bchny ky khatir pory india ko hila deya uske tareef jitni ki jaye kaam he yai hoti he larkia ,neutral
  jab qarardad e pakistan manzoor hoi to un dinon hameed nizame ke halke phulke mazamin adbi jaraid ï¿½eeeâ¬ï¿½eeehumayonï¿½eeeâ¬ï¿½eee ï¿½eeeâ¬ï¿½eeeadbi duniyaï¿½eeeâ¬ï¿½eee or ï¿½eeeâ¬ï¿½eeesheraza main shaya ho rahe the ,positive
  bakwas overacting ,negative
  lanat besumar     ,negative
  hraam dyaaaa cocaacollla pilaaa dyyyy ,negative
  abappolitics ka pechay aisa karo ga dil tor deya        ,negative
  jald hi sabiqa muh band ho jayega rohit sharma shatak maregatufani ,neutral
  ma sha allah be shak izatain allah deta hai ,positive
  order karna hakasy kry ,positive
  asa telent kashmir main booot paya jata han ,positive
  bushra aapa ki tarha sabar karein iska anjam b aamir liaquat wala hoga ,neutral
  ap to sharam karo pmln ke mnas sar e aam shirk kar rhay hain aurapunko support kar rhay ho kaam se kaam allah ke wastay to inko support na karo kabar main ja ke yai kahogi ke mene unko support kya jinke party allah se shirk karti rahi    allah pak ny farmaya ma kise b musalman ka jo apni fazal se jo chahnga gunah maf kar dnga lekin jo musalman shirk karyga usko kise soorat maafi nahi dnga agar pti ki support nahi karna beshak mat karo apko koe force b nahi karta lekin apko as aa muslim yai haq nahi ke unko support karo jo sar e aam shirk kar rhay hain ,negative
  dil ghar hai khuda ka ,positive
  akeli hun msg karo                ,positive
 mujhe khushi hai ke tum mere sath ho,positive
  masha allah thanks allah almighty and then thanks pak army ,positive
  peche khre log maze li rahe hain :d ,negative
  isko moong ka cheela nahi bolte  ,positive
  qatil jahangir khan na squash ke maidan main pakistan ka naam roshan kei ,positive
  tharland li jana  liter pata lag jayega ,neutral
  : fire brigade mangva dy to angaron par hai armaan:p ,negative
  chooor saaaly ,neutral
  best comedy aksay kumar ki hai ,positive
  ricky ponting ko one day cricket main australia ki taraf se sab se zayada runs or centuries banane ke aizaz hasil hai ,positive
  koshhish he to ki thiiiii hahahah ,neutral
  inho ny ek roza matches main  innings khail kar  ,positive
  wahiyat post koe bi rahay allah ny apni bando ky izzat bahot afzal rakha ,positive
  muje farak nahi padtha agle janam kyaa ban ke iss duniye me auu bs itna chaungaa ki har janam me tum hi meri ma rehnaa love yn maa ,neutral
  yai gana roj kon kon sunta hai          ,neutral
  yar pata ni yai log aisi posts kar ky apni bezti ku karwaty henaql khatam ho gia hai pata ni in m ,positive
  hahaha qatil koe haal ni ,negative
  gand me sulemani ,negative
  allah har beti ka naseeb acha kre aameen ,positive
  allah ka naam py day do ,positive
  allah se daro or sood chor do warana fir allah or rasool se jang ky liye tayaar ho jao qatil ,positive
  chal beyyy videos to dkti hai iske ,negative
  maf kijyegabht hi bura hansti hain ap ðÿðÿðÿ ,negative
  kon kon ro para ,neutral
  qatil please batao kab upload hota hai daily ya weekly ,neutral
  jinke zaban lambi hoti han vo aqal sy paydal hotai han ,negative
  khan tari bhn lay ky nas gea har waqat serf us da zikar krda hai oooo raba sadi kesmt or kena imthaan baqi aai ,positive
  alhamdullilah i will manage  branches ,positive
  hanya khan uff intne bagaawt ,negative
  main india se hu par yai main  baar pora serial daikha hu bahut acha lagata hai ,neutral
  lakh lanat ho hukamt ka ,negative
  fariq chz hai ear grm kar deta hai bohot ghateya foam laga han ,neutral
  i aam bangladeshi but love pakistani drama specially from khuda or muhabbat     ,neutral
  yai cx thay deserv  akhir koe kaam karnama nahi kya shukrany ky nafanil ada krny hi chaheay ðÿ ,positive
  jab raat ko  bajy adalat khuli ti us waqat kya moo ma bajwa ny kuch daal rakha ta khnzeer ky bachy ,negative
  allah tala munavvar sahab ko sehat dy tandrusti ata farmaye ,positive
  han unka kya mjy jhelna par raha han tjy âðÿðÿðÿðÿðÿðÿ­ ,negative
  qatil is marke main major muhammad qatil akram shaheed bhi hamle ki zad main aagaye or goliyan ki bochar neapka seena shak kar diya ,negative
  yai hamari party hoo rahe han tiktok me dikha rahe han qudsia ko jaise usne daikha na hoo ,neutral
  aaj yaad aagayi apki sir ,neutral
  shabaaz shareef sahab  ap kahan apna moqablaah kar rahai han  jab kiaprace main ho hi nahi  or na hi apki government hai is kabil ,positive
  subhanallah and    allah fatima ki maghfirat farmay or uskay darjat buland karay and #rip to har beautiful soul aameen                  ,positive
  plz hum sab inka video share kartay hyn shayad koe arrangment hun jaye ,positive
  allah    ko ajar dy or sehat him at dy ,positive
  mary waldain ky leye magferat ki dua ,positive
  bila shuba malala yousafzai is waqai se pheley bhi ek honihar larki the aura b bhi hai jis ny duniya bhar main pakistan ko ek nahi shanakht di haimagar social media par us ki zaat ko galat rang bhi diya gaya ke wo gair mulki taqaton ke leye kaam kar rahe hai or elm dushmanon ny us ki awaz ko dabanay ki asi hi kai koshishein kein magar wo the ke agae hi barhti chali gai ,positive
  mashallah subhanllah    ,positive
  :p me bhi tharki nahi hun ,negative
  kon itna yaad rakyga ,neutral
  ep  haya ka sapna bana do plsdon't ruin lead characters pls otherwise there qatil won't be any respect between them hence no love qatil could be imagine ,neutral
  nahi ywr is bechare pathan bhai ka kya kasoor gai jo ise yai behaya ky saath khara kar deya ,neutral
  apki smile bahut pyari hai nahana to bahut jaruri hota hai ,neutral
  sindh bhar me cng stations mangal jumerat or haftay ko subha am se lekar  ghanto ky lye band rahen ge qatil ,negative
  allah is mulk ka logo ko apni hifso amman ma rkhay or sara logo ki musklat ko asaan kry ameensum e ameen ,positive
  ibtadae chand saal us ny mayosi or tarike main guzare ,negative
  kon see haseena sookh sookh ky sookhi hui  saal ki orat or kaki qatil banti hai  years ki ,neutral
  hamari mulk main jahilllon ki koe kami nahi sab gaddar lottay chor dakou mafia jinho nay mulkepakistan py qabza kar lia ab har somoto awam sy aai ga ab kya karo gay  ,negative
  chor na his company ,negative
  famous honay ky liye kuch b kare gay aaj kal log ,neutral
  price apk phuppad ny btana tha  ,positive
  hum kab jagaen gai ,positive
  hum apki saath hain ,positive
  mashaallah bhtt e nafees insaan hain or sheeren lahza han ,positive
  in sha allah asa hi hoga ,positive
  bagrt safi neh ahya yrh noon league ky chmacga han ,negative
  khaaa jaon ga mamamy aiske ,neutral
   se zaid ehelkar shaheed qatil ,negative
  allah nazre bad se bachy tum jaiso ki ,positive
  hallo mam mera chainnal rr world qatil news ke liye voice over kar leinge please tall me qatil you tube channel rr world qatil news please reply me  ,neutral
  yhe diesel ko khuda qatil manta han isko baat mat sunoo ,negative
   may pa kar politics ,positive
  sharam karo pakistanio apnay country ka bando ko he bura bura bol rhy ho sharm karo shame for you ,negative
  allah mujhe bhi tasbeeh khani main ramazan guzarine ki tufeeq daen ameen ,positive
  bohot aalaa ,positive
  daddu charger ,positive
  lakh dy lanat ,negative
  orangi me firing se nadeem janbahaq qatil ,negative
  ghatia anchor ,negative
  sharam karo ,negative
  lanti pdm ,negative
  allah sab betiyo ki izzat ko apnay aman ma rakhy    ,positive
